search,title,card_name,condition,price,shipping,total_price,mkt_price,cond_price,value_score,cond_value,bid_count,time_listed,time_left,buy_it_now,best_offer,url
B2-R,Dragonair 22/130 NM Base Set 2 Vintage Pokemon Rare,Dragonair,NM,4.99,,4.99,6.3,5.040000000000000279776202206,20.79365079365079365079365079,0.9920634920634975595366000879,,2021-10-16 18:03:00,,,,https://www.ebay.com/itm/224650087794?hash=item344e304d72:g:8ZEAAOSwk0xha1pA
B2-H,Venusaur (18/130) - Base Set 2 - Pokemon TCG MP,Venusaur,MP,39.95,,39.95,85.47,51.28199999999999810218476171,53.25845325845325845325845326,22.09742209742209453912289993,,2021-10-16 17:42:00,,,,https://www.ebay.com/itm/194443830417?hash=item2d45c16491:g:Y1YAAOSwGdVha1Li
GH-H,Moderately Played Lt. Surge’s Magneton - Gym Heroes - 8/132 -Holo Rare-Unlimited,Lt. Surge's Magneton,,9.99,,9.99,11.56,4.624000000000000256683563293,13.58131487889273356401384083,-116.0467128027681540969636505,,2021-10-16 17:26:00,,,,https://www.ebay.com/itm/265364013313?hash=item3dc8ed8101:g:tlAAAOSwFz9ha1DL
B2-R,Pokemon Card Dragonair 22/130 Base Set 2 Unlimited Non Holo 1999 damaged ,Dragonair,DMG,2.99,0.99,3.98,6.3,2.520000000000000139888101103,36.82539682539682539682539683,-57.93650793650792774069913092,,2021-10-16 16:23:00,,,,https://www.ebay.com/itm/234239782579?hash=item3689c76eb3:g:0bQAAOSw6ZFha0LY
GC-H,Erika's Venusaur 4/132 Vintage Pokemon Rare Holo Gym Challenge WOTC,Erika's Venusaur,,59.99,4.30,64.29,100.4,40.16000000000000222932783345,35.96613545816733067729083665,-60.08466135458166442028906210,,2021-10-16 15:50:00,,,,https://www.ebay.com/itm/174978504607?hash=item28bd88179f:g:xEIAAOSwUJBhZxQD
B2-H,Pokemon Pidgeot Base Set 2 Holo Swirl 14/130 Played Condition,Pidgeot,,14.57,2.23,16.80,21.29,8.516000000000000472732963885,21.08971348050728041333959605,-97.27571629873178801564888816,,2021-10-16 15:44:00,,,,https://www.ebay.com/itm/144249927978?hash=item2195f7392a:g:HIMAAOSwD7xhUfjT
N4-H,Pokemon Dark Espeon Neo Destiny Holo 4/105 Damaged Condition,Dark Espeon,DMG,24.28,2.23,26.51,182.56,73.02400000000000405364630751,85.47874671340929009640666082,63.69686678352322725624537021,,2021-10-16 15:44:00,,,,https://www.ebay.com/itm/144249927988?hash=item2195f73934:g:UHgAAOSwLG9ge3N~
N4-H,Pokemon Dark Gengar Neo Destiny Holo 6/105 Played Condition,Dark Gengar,,72.84,12.95,85.79,161.75,64.70000000000000359157148466,46.96136012364760432766615147,-32.59659969088098182024472314,,2021-10-16 15:44:00,,,,https://www.ebay.com/itm/144249927919?hash=item2195f738ef:g:iZAAAOSwwXVhUfdT
N2-H,Pokemon Scizor Neo Discovery Holo Swirl 10/75 HP Condition,Scizor,HP,12.95,2.23,15.18,39.88,19.940,61.93580742226680040120361083,23.87161484453360080240722166,,2021-10-16 15:44:00,,,,https://www.ebay.com/itm/144249928048?hash=item2195f73970:g:hLMAAOSw7-FhUfcV
TR-H,Dark Gyarados 8/82 Pre Release Rare Holo Team Rocket Pokémon Card - LP,Dark Gyarados,LP,16.99,,16.99,23.66,16.56199999999999894928492949,28.19103972950126796280642434,-2.584228957855337989783562533,,2021-10-16 15:06:00,,,,https://www.ebay.com/itm/154655291098?hash=item24022c76da:g:42sAAOSw-gNhazB~
N4-H,Pokemon Light Arcanine no.059 Holo Neo Destiny jap MINT,Light Arcanine,M,69.87,5.82,75.69,160.94,144.8460000000000035735858717,52.97005095066484404125761153,47.74450105629427244618085928,,2021-10-16 14:56:00,,,,https://www.ebay.com/itm/324834835017?hash=item4ba1aa3a49:g:7z4AAOSwor1hay4t
B2-H,VENUSAUR 18/130 Base Set 2 Holographic Pokemon Card Rare Holo 1999-2000 Played,Venusaur,,34.00,4.40,38.40,85.47,34.18800000000000189781523829,55.07195507195507195507195507,-12.32011232011231387730137102,,2021-10-16 14:29:00,,,,https://www.ebay.com/itm/165132304687?hash=item2672a7012f:g:CuYAAOSwGGRhVlsH
N3-H,Pokémon TCG Magneton Neo Revelation 10/64 Holo Unlimited Holo Rare,Magneton,,20.00,,20.00,22.41,8.964000000000000497601959637,10.75412762159750111557340473,-123.1146809460062348257136922,,2021-10-16 14:27:00,,,,https://www.ebay.com/itm/384450364853?epid=12043364621&hash=item59830705b5:g:j8oAAOSw~0hhaydV
GH-H,Pokémon TCG Lt. Surge's Fearow Gym Heroes 7/132 Holo Unlimited Holo Rare,Lt. Surge's Fearow,,30.00,,30.00,31.22,12.48800000000000069322325658,3.907751441383728379244074310,-140.2306213965406657164114594,,2021-10-16 14:18:00,,,,https://www.ebay.com/itm/384450358509?epid=16043369950&hash=item598306eced:g:J8cAAOSwylRhayV3
N4-H,Dark Tyranitar Rare Holo Neo Destiny 11/105 NM,Dark Tyranitar,NM,80.00,4.50,84.50,138.75,111.0000000000000061617377867,39.09909909909909909909909910,23.87387387387387809972277393,,2021-10-16 14:07:00,,,,https://www.ebay.com/itm/274988112474?hash=item4006919a5a:g:nIQAAOSwN59hayDI
B2-H,Venusaur Base Set 2 holo rare 18/130 Vintage Pokémon,Venusaur,,41.50,2.00,43.50,85.47,34.18800000000000189781523829,49.10494910494910494910494910,-27.23762723762723056413045936,,2021-10-16 13:42:00,,,,https://www.ebay.com/itm/234239593197?hash=item3689c48aed:g:sWIAAOSw8pFhaxv-
GC-H,Giovannis Gyarados Holo 1st Edition Gym Challenge DESTROYED 5/132 Pokemon Card,Giovanni's Gyarados,DMG,41.38,11.03,52.41,56.36,22.54400000000000125144339336,7.008516678495386799148332150,-132.4787083037615200969684349,,2021-10-16 13:23:00,,,,https://www.ebay.com/itm/194443558437?hash=item2d45bd3e25:g:wxcAAOSwe1Zhaxgu
GC-H,Erika's Venusaur 4/132 Unlimted Holo Rare Gym Challenge Pokemon Card,Erika's Venusaur,,24.99,4.49,29.48,100.4,40.16000000000000222932783345,70.63745019920318725099601594,26.59362549800797220236239616,,2021-10-16 12:31:00,,,,https://www.ebay.com/itm/403235385100?hash=item5de2b3af0c:g:QA4AAOSwyklhawwb
N3-H,Magneton 10/64 Unlimited Holo Rare Neo Revelation Pokemon Card,Magneton,,9.99,1.99,11.98,22.41,8.964000000000000497601959637,46.54172244533690316822846943,-33.64569388665773466060250167,,2021-10-16 12:25:00,,,,https://www.ebay.com/itm/403235378587?hash=item5de2b3959b:g:kgUAAOSwZohhawrd
TR-H,Pokemon Card TCG Dark Gyarados Arbok Lot 130 2/82 Holo Team Rocket,Dark Gyarados,,17.00,,17.00,23.66,9.464000000000000525357535253,28.14877430262045646661031276,-79.62806424344884886211357849,,2021-10-16 12:24:00,,,,https://www.ebay.com/itm/154655115283?hash=item240229c813:g:WeEAAOSwqfFgsAE4
N1-H,Azumarill 2/111 Unlimited Holo Rare Neo Genesis Pokemon Card,Azumarill,,7.99,1.99,9.98,13.49,5.396000000000000299538172044,26.01927353595255744996293551,-84.95181616011859610820442387,,2021-10-16 12:20:00,,,,https://www.ebay.com/itm/403235373639?hash=item5de2b38247:g:O8gAAOSwgSFhawnh
N2-H,Scizor 10/75 Unlimited Holo Rare Neo Discovery Pokemon Card,Scizor,,19.99,1.99,21.98,39.88,15.95200000000000088551388444,44.88465396188565697091273821,-37.78836509528584992392738176,,2021-10-16 12:12:00,,,,https://www.ebay.com/itm/403235361613?hash=item5de2b3534d:g:5SwAAOSwP1xhawfp
B2-H,Venusaur Holo Base Set 2 DESTROYED 18/130 Pokemon Card,Venusaur,DMG,13.78,11.03,24.81,85.47,34.18800000000000189781523829,70.97227097227097227097227097,27.43067743067743470583731732,,2021-10-16 11:35:00,,,,https://www.ebay.com/itm/194443377294?hash=item2d45ba7a8e:g:j2YAAOSwKIdhav8u
GC-H,Rockets Zapdos Gym Challenge VG 15/132 Pokemon Card (CREASE IN HOLO),Rocket's Zapdos,,55.18,11.03,66.21,66.33,26.53200000000000147282186447,0.1809136137494346449570330200,-149.5477159656263995349264171,,2021-10-16 11:27:00,,,,https://www.ebay.com/itm/194443366963?hash=item2d45ba5233:g:wMsAAOSwGBphavy5
TR-H,Pokemon DARK GYARADOS 8/82 (Holo Rare) Team Rocket - HP/Heavy Play,Dark Gyarados,HP,16.00,1.95,17.95,23.66,11.830,24.13355874894336432797971260,-51.73288250211327134404057481,,2021-10-16 10:38:00,,,,https://www.ebay.com/itm/203653291672?hash=item2f6aae9e98:g:OR4AAOSwEhhhavHx
B2-H,Charizard - Base Set 2 - 4/130 - Holo Foil Rare - Pokemon Card - Damaged,Charizard,DMG,79.93,,79.93,286.99,114.7960000000000063724581167,72.14885536081396564340220914,30.37213840203491797362827789,,2021-10-16 10:29:00,,,,https://www.ebay.com/itm/154654960403?hash=item2402276b13:g:mJIAAOSwrbphau-s
TR-H,Prerelease Dark Gyarados 8/62 - Team Rocket - Holo Pokemon - NM Condition,Dark Gyarados,NM,15.40,4.30,19.70,23.66,18.92800000000000105071507051,16.73710904480135249366018597,-4.078613693998303605401102807,,2021-10-16 10:12:00,,,,https://www.ebay.com/itm/174980231479?hash=item28bda27137:g:i0wAAOSwqBhhauvN
TR-H,Pokémon TCG WOTC Dark Golbat Team Rocket Holo Foil Rare 7/82,Dark Golbat,,10.00,5.25,15.25,17.01,6.804000000000000377697872977,10.34685479129923574368018812,-124.1328630217518981989262746,,2021-10-16 09:15:00,,,,https://www.ebay.com/itm/403235095429?hash=item5de2af4385:g:67gAAOSw-phhat5q
GC-H,"Erika's Venusaur 4/132 Gym Challenge Holo Pokemon Card WOTC, Played",Erika's Venusaur,,48.28,31.64,79.92,100.4,40.16000000000000222932783345,20.39840637450199203187250996,-99.00398406374500887337847010,,2021-10-16 07:28:00,,,,https://www.ebay.com/itm/174980044151?hash=item28bd9f9577:g:UDEAAOSwGGRhVx0V
N4-H,Dark Porygon2 8/105 - Neo Destiny Holo - Pokémon Card ,Dark Porygon2,,25.00,4.50,29.50,45,18.00000000000000099920072216,34.44444444444444444444444444,-63.88888888888887979122799268,,2021-10-16 03:58:00,,,,https://www.ebay.com/itm/403233568496?hash=item5de297f6f0:g:KoAAAOSwuiphaes8
GH-H,1998 Pokémon Rocket's Moltres Holo 146 Gym Heroes Near Mint / Mint,Rocket's Moltres,NM,24.99,,24.99,44.68,35.74400000000000198419058961,44.06893464637421665174574754,30.08616830796777469567946864,,2021-10-15 20:43:00,,,,https://www.ebay.com/itm/133905110448?hash=item1f2d5dd5b0:g:6PMAAOSwA8FgTuGz
TR-H,Prerelease Dark Gyarados 8/62 - Team Rocket - Holo Pokemon - NM/LP Condition,Dark Gyarados,LP,16.99,,16.99,23.66,16.56199999999999894928492949,28.19103972950126796280642434,-2.584228957855337989783562533,,2021-10-15 19:39:00,,,,https://www.ebay.com/itm/393631411182?hash=item5ba642abee:g:1G8AAOSwnTNhah8q
GH-H,Lt. Surge's Magneton - Gym Heroes - 8/132 - Pokemon Card - Holo - HP,Lt. Surge's Magneton,HP,7.50,,7.50,11.56,5.780,35.12110726643598615916955017,-29.75778546712802768166089965,,2021-10-15 18:27:00,,,,https://www.ebay.com/itm/393631333930?hash=item5ba6417e2a:g:~tEAAOSw0G9hag3Y
TR-H, Pokemon Dark Gyarados 8/82 Holo Rare Team Rocket NM/ Mint,Dark Gyarados,NM,16.00,,16.00,23.66,18.92800000000000105071507051,32.37531699070160608622147084,15.46914623837701230018184544,,2021-10-15 17:02:00,,,,https://www.ebay.com/itm/373757736687?hash=item5705b276ef:g:aVoAAOSwvgBhafpQ
N2-H,Poliwrath 9/75 - NM Holo Rare - Vintage 2001 Neo Discovery Pokemon Card,Poliwrath,NM,12.10,,12.10,20.16,16.12800000000000089528384706,39.98015873015873015873015873,24.97519841269841686312580543,,2021-10-15 16:59:00,,,,https://www.ebay.com/itm/373757734656?hash=item5705b26f00:g:S08AAOSwC-1hafmv
GC-H,Erika's Venusaur Holo 4/132 Pokemon Gym Challenge CGC 6.5 Ex/NM+,Erika's Venusaur,Graded,70.00,5.25,75.25,100.4,100.4,25.04980079681274900398406375,25.04980079681274900398406375,,2021-10-15 16:57:00,,,,https://www.ebay.com/itm/224648960105?hash=item344e1f1869:g:jIQAAOSwWKdhafkS
N4-H,Pokémon TCG Dark Porygon2 Neo Destiny 8 Holo Unlimited Holo Rare,Dark Porygon2,,35.00,,35.00,45,18.00000000000000099920072216,22.22222222222222222222222222,-94.44444444444443365060948284,,2021-10-15 16:40:00,,,,https://www.ebay.com/itm/384448860040?epid=25043363750&hash=item5982f00f88:g:K~8AAOSwCsVhaenW
N2-H,Pokémon TCG Houndoom Neo Discovery 4 Holo Unlimited Holo Rare,Houndoom,,35.00,,35.00,41.84,16.73600000000000092903462701,16.34799235181644359464627151,-109.1300191204588794043362028,,2021-10-15 15:39:00,,,,https://www.ebay.com/itm/384448785379?epid=14043372374&hash=item5982eeebe3:g:AgEAAOSwanFhaea6
N2-H,Pokémon TCG Houndoom Neo Discovery 4 Holo Unlimited Holo Rare,Houndoom,,35.00,,35.00,41.84,16.73600000000000092903462701,16.34799235181644359464627151,-109.1300191204588794043362028,,2021-10-15 15:39:00,,,,https://www.ebay.com/itm/384448783154?epid=14043372374&hash=item5982eee332:g:AgEAAOSwanFhaea6
GC-H,Rocket's Zapdos 15/132/Gym Challenge/Holo Rare/WOTC Pokémon Vintage/MINT,Rocket's Zapdos,M,50.00,4.45,54.45,66.33,59.69700000000000147282186447,17.91044776119402985074626866,8.789386401326702084476372009,,2021-10-15 15:24:00,,,,https://www.ebay.com/itm/353726283100?hash=item525bbabd5c:g:nxAAAOSwDsFhaeFu
N2-H,Kabutops 6/75 Holo Vintage Pokemon NM - Neo Discovery,Kabutops,NM,30.00,,30.00,34.87,27.89600000000000154853907475,13.96616002294235732721537138,-7.542299971322047371183908299,,2021-10-15 14:11:00,,,,https://www.ebay.com/itm/353726183406?hash=item525bb937ee&_trkparms=ispr%3D1&amdata=enc%3AAQAGAAADgEsJBXSBe5hV2Ax6lQRKIZ5jNmv4CTeCbIIQfdhv5TIRrYFTWBr9JCgb4%252B6MXSpug4D%252FPKy1SBig7mwEPou7lEHY4MaFlGZbW0MnB34D%252BFQB8ynqTglH8ttfpHcozetz5zTvXBpOcj8jVMWUkbY9J6Zc%252BimiIqJamWH3qvLyDHqkLbmKbhqtLj2aS%252BynCld9oiT8C8hxR2AIZYb9KiPcCRCert7TkcDNqTpyGaFbP%252FY1OejUNVh%252FgODPDlqNmPSPFt6NX1cHNSKlEOJlR1aHebJbU%252BhnAIrto264u6h%252F7X1oKHSTDLTrK%252B%252FNPuYrACRzSXfeO35V2QTpyBQDCpqA1oSBwU8tilg2jeklyrnTNM1QoReDB4BzmnAGZTgiPmKlxwcvvOeYZ%252BfwlyAERLTcMpkilw7E9R%252BBk%252BG8lTxfgnl5WFWectbymcB56W4ku7olMH%252Bw1GyC63YJUFxln7d8U6dRyJ%252BVzvCjJbEM9qzoJySMaMvZF%252Bf3Nu0YWTEEimTWAEHMXSKWNFmLcWoaTHogPN3ZEOKm9bYzL4t0hOZf3pGirNDQmo47dPHmDl%252BSkG3rGDlGuaGBn%252B80hleadPTkUm1Q1HXczx8mxKW4qlH0aLR3d9xI8FZgj4EhYI83zOtlEg9AOGDB9wXqB0x6QqPrR6A%252FiB2Xx3SZ3Ul2BFBGuX4PnAMR0gI4GJexGnMsfoER9VsiYIWNchH1ULRHWTV%252B8B4k48Ke96e7SCig0AchXH7lWo56SjKxRhOc5d4w3i4%252BYRUNIQforOwgZF2nedfaSWhja%252Fs8Dq7Z%252BfGqzh%252FgUSh%252FHMo%252BEQdup8gaNx4NF7JH4CYn%252BeD8I9tfSFO%252BtQnmitq%252FtxgyAZbXSGCM2nNK98DQ%252BTCrQdAPtaSeZNcAnPb0cb2g%252F8177lr6g78QOkojeTb6HGWK9bnGzMFzSu%252B2W2zj2lp8P%252BRNrWrB0tG%252BUYxRSjheRLS9UH5MdiPAy0K9X7vsRdNFw2vXtsDi%252FVR8reybu94a0NQXH3Aaou3D0i5uEuMKhqOdQXWI56DIo8BWrHXWmrJrfNNQV7ExL7AtgKkJWkKnYQA62K2V%252FgOWjW%252BlOawXgsjrcKEklmk2sg1RK3a7ulDYJe%252FIGXsCkJLn1YQTh7B7Lr7eG6KYR2rFAdGm4u9laHwvGLmUYFp3Qhjp8ROuosLd7Hfu8neXIVVUqKqc%7Campid%3APL_CLK
N2-H,Kabutops 6/75 Holo Vintage Pokemon NM - Neo Discovery,Kabutops,NM,30.00,,30.00,34.87,27.89600000000000154853907475,13.96616002294235732721537138,-7.542299971322047371183908299,,2021-10-15 14:11:00,,,,https://www.ebay.com/itm/353726183406?hash=item525bb937ee:g:RicAAOSw4DJhadI0
N4-H,Dark Scizor 9/105 Holo Rare Neo Destiny Pokemon Card WOTC ,Dark Scizor,,37.26,31.41,68.67,90.65,36.26000000000000201283434365,24.24710424710424710424710425,-89.38223938223937172655610850,,2021-10-15 11:43:00,,,,https://www.ebay.com/itm/174978886009?hash=item28bd8de979:g:wlsAAOSw9WRg~D7x
N3-H,Houndoom 8/64 Neo Revelation 2001 Holo Pokemon Card,Houndoom,,34.48,31.34,65.82,76.45,30.58000000000000169753100465,13.90451275343361674296926095,-115.2387181164159461944278154,,2021-10-15 11:42:00,,,,https://www.ebay.com/itm/174978884624?hash=item28bd8de410:g:7FsAAOSwzJ9f~NTv
GC-T,Pokemon TCG English Card Gym Challenge Leader Sabrina 20/132 Holo Rare,Sabrina,,16.00,,16.00,31.32,12.52800000000000069544370263,48.91443167305236270753512133,-27.71392081736908614161542380,,2021-10-15 08:41:00,,,,https://www.ebay.com/itm/133904668880?hash=item1f2d5718d0:g:I~0AAOSw0XRhaYUF
GH-H,Pokémon TCG Lt. Surge's Fearow Gym Heroes 7/132 Holo Unlimited Holo Rare,Lt. Surge's Fearow,,15.00,4.40,19.40,31.22,12.48800000000000069322325658,37.86034593209481101857783472,-55.34913516976296382994607709,,2021-10-15 07:40:00,,,,https://www.ebay.com/itm/393630521175?epid=16043369950&hash=item5ba6351757:g:GkYAAOSwzFNhYZTc
TR-H,Pokemon TCG Dark Blastoise Team Rocket Set Holo Rare 3/82 2000 WOTC Vintage,Dark Blastoise,,59.99,4.30,64.29,100,40.00000000000000222044604925,35.7100,-60.72499999999999107797021836,,2021-10-15 07:26:00,,,,https://www.ebay.com/itm/174978503965?hash=item28bd88151d:g:740AAOSw88lhZxLb
N1-L,Lugia Neo Genesis Holo WOTC,Lugia,,64.85,32.00,96.85,360.22,144.0880000000000079984907586,73.11365276775303980900560768,32.78413191938260325374423737,,2021-10-15 06:52:00,,,,https://www.ebay.com/itm/174978479745?hash=item28bd87b681:g:~JIAAOSwGWphDoDH
GC-H,Pokemon Rocket's Zapdos Gym Challenge Holo 15/132 Rare Foil Card NM/LP,Rocket's Zapdos,LP,59.99,4.75,64.74,66.33,46.43099999999999705435627106,2.397105382180009045680687470,-39.43270659688571020910766075,,2021-10-15 00:22:00,,,,https://www.ebay.com/itm/313711816727?hash=item490aae7017:g:BJAAAOSwbelhaQ~h
B2-H,VENUSAUR 18/130 Base Set 2 Holographic Pokemon Card Rare Holo 1999-2000 ,Venusaur,,35.00,,35.00,85.47,34.18800000000000189781523829,59.04995904995904995904995905,-2.375102375102369419415312128,,2021-10-14 22:27:00,,,,https://www.ebay.com/itm/393629818180?hash=item5ba62a5d44:g:9rgAAOSw8y5haPUN
N3-R,Pokemon Ho-oh 18/64 Neo Revelation Unlimited Non-Holo (LP) Light crease tiny,Ho-oh,LP,4.99,0.99,5.98,12.52,8.763999999999999444000309268,52.23642172523961661341853035,31.76631675034230511890611772,,2021-10-14 21:41:00,,,,https://www.ebay.com/itm/234236820391?hash=item36899a3ba7:g:PBQAAOSwCo5haOo3
GH-H,ROCKET'S MOLTRES - Gym Heroes - Holo Rare Pokemon Card,Rocket's Moltres,,35.00,4.50,39.50,44.68,17.87200000000000099209529481,11.59355416293643688451208594,-121.0161145926588955198608234,,2021-10-14 21:04:00,,,,https://www.ebay.com/itm/363580254356?hash=item54a7126894:g:6lAAAOSw-1VhaDfJ
N3-H,Pokemon TCG Ampharos 1/64 Holo Neo Revelation Rare Card - Heavily Played,Ampharos,HP,15.00,,15.00,35.3,17.65,57.50708215297450424929178470,15.01416430594900849858356941,,2021-10-14 21:00:00,,,,https://www.ebay.com/itm/194439885293?hash=item2d458531ed:g:Zl0AAOSwUs1haN~h
GH-H,Erika's Dragonair 4/132 Gym Heroes Holo Rare Pokémon Card WOTC Near Mint - Mint ,Erika's Dragonair,NM,36.95,3.99,40.94,44.3,35.44000000000000196731519964,7.584650112866817155756207670,-15.51918735891647214270166080,,2021-10-14 20:16:00,,,,https://www.ebay.com/itm/284489101386?hash=item423cdf304a:g:znwAAOSwtMlhaNXa
TR-H,Dark Blastoise 3/82 Rare Team Rocket Set Holo Foil Pokemon Card LP,Dark Blastoise,LP,74.99,,74.99,100,69.99999999999999555910790150,25.0100,-7.128571428571435367806091153,,2021-10-14 20:11:00,,,,https://www.ebay.com/itm/393629590445?hash=item5ba626e3ad:g:j7QAAOSw8uthaNTo
TR-H,Dark Gyarados Holo Team Rocket Pokemon Card,Dark Gyarados,,5.00,,5.00,23.66,9.464000000000000525357535253,78.86728655959425190194420964,47.16821639898563268761365339,,2021-10-14 19:39:00,,,,https://www.ebay.com/itm/265361404209?hash=item3dc8c5b131:g:D~4AAOSw2zdgylEB
B2-H,Zapdos 20/130 LP/NM Near Mint Base Set 2 2000 Holofoil Rare Holo Pokemon Card,Zapdos,LP,17.00,,17.00,19.87,13.90899999999999911759474003,14.44388525415198792148968294,-22.22302106549716786614686014,,2021-10-14 17:04:00,,,,https://www.ebay.com/itm/224647636660?hash=item344e0ae6b4:g:QX8AAOSwJEZhaKe~
B2-H,Zapdos 20/130 LP/NM Near Mint Base Set 2 2000 Holofoil Rare Holo Pokemon Card,Zapdos,LP,17.00,,17.00,19.87,13.90899999999999911759474003,14.44388525415198792148968294,-22.22302106549716786614686014,,2021-10-14 17:04:00,,,,https://www.ebay.com/itm/224647636667?hash=item344e0ae6bb:g:X7UAAOSwlvFhaKea
B2-H,Venusaur 18/130 LP Played Base Set 2 2000 Holofoil Rare Holo Pokemon Card,Venusaur,LP,50.00,,50.00,85.47,59.82899999999999620436952341,41.49994149994149994149994150,16.42848785705928032882751735,,2021-10-14 17:04:00,,,,https://www.ebay.com/itm/224647636662?hash=item344e0ae6b6:g:sCEAAOSwiDxhaKWY
B2-H,Venusaur 18/130 LP Played Base Set 2 2000 Holofoil Rare Holo Pokemon Card,Venusaur,LP,50.00,,50.00,85.47,59.82899999999999620436952341,41.49994149994149994149994150,16.42848785705928032882751735,,2021-10-14 17:04:00,,,,https://www.ebay.com/itm/224647636649?hash=item344e0ae6a9:g:xTYAAOSw~~5haKTt
B2-H,Venusaur 18/130 LP Played Base Set 2 2000 Holofoil Rare Holo Pokemon Card,Venusaur,LP,50.00,,50.00,85.47,59.82899999999999620436952341,41.49994149994149994149994150,16.42848785705928032882751735,,2021-10-14 17:04:00,,,,https://www.ebay.com/itm/224647636661?hash=item344e0ae6b5:g:iUgAAOSwZ45haKTQ
N3-H,Pokemon Card Houndoom No.229 Holo rare 2set Neo Discovery & Neo Revelation EX,Houndoom,,45.99,,45.99,76.45,30.58000000000000169753100465,39.84303466317854807063440157,-50.39241334205362147495799502,,2021-10-14 15:47:00,,,,https://www.ebay.com/itm/284488926549?hash=item423cdc8555:g:jvYAAOSwWrxhQOV2
N1-H,Azumarill No 184 - Neo Genesis - Holo Rare - HP/Damaged,Azumarill,DMG,3.00,,3.00,13.49,5.396000000000000299538172044,77.76130467012601927353595256,44.40326167531505127007883050,,2021-10-14 14:59:00,,,,https://www.ebay.com/itm/403231286068?hash=item5de2752334:g:LcoAAOSw-85haHOZ
N4-H,Pokemon Cards NM/LP Dark Donphan 3/105 Neo Destiny Pokémon,Dark Donphan,LP,28.00,,28.00,41.99,29.39299999999999813526940784,33.31745653727077875684686830,4.739223624672535037740824687,,2021-10-14 13:38:00,,,,https://www.ebay.com/itm/165128829053?hash=item267271f87d:g:q6oAAOSwDtxhaHer
B2-H,Blastoise 2/130 Pokémon TCG Base Set 2 Holo Rare MP (10/14),Blastoise,MP,49.99,,49.99,99.96,59.97599999999999778044212917,49.98999599839935974389755902,16.64999333066559648859271481,,2021-10-14 13:08:00,,,,https://www.ebay.com/itm/234236185556?hash=item3689908bd4:g:GiAAAOSwJGNhaHHf
N3-H,Houndoom NM Holo Rare (8/64) Neo Revelation Pokémon Card 2000 *HI-RES SCANS*,Houndoom,NM,74.98,,74.98,76.45,61.16000000000000339506200930,1.922825376062786134728580770,-22.59646827992151052611818294,,2021-10-14 13:03:00,,,,https://www.ebay.com/itm/224647418724?hash=item344e079364:g:5L8AAOSwWKdhaHEI
N3-H,Pokemon Celebi 3/64 Holo Neo Revelation Excellent NM,Celebi,NM,39.99,4.40,44.39,71.33,57.06400000000000316768833386,37.76812000560773867937754101,22.21015000700967766742605348,,2021-10-14 12:21:00,,,,https://www.ebay.com/itm/294462290749?hash=item448f51fb3d:g:btgAAOSwpnNhaGYg
N1-H,Azumarill 2/111 Holo Neo Genesis Pokemon Card TCG 2000,Azumarill,,5.00,4.50,9.50,13.49,5.396000000000000299538172044,29.57746478873239436619718310,-76.05633802816900431141703675,,2021-10-14 08:03:00,,,,https://www.ebay.com/itm/324831418328?hash=item4ba17617d8:g:H7wAAOSwPIhhXitQ
N3-H,Pokemon Card SHINING MAGIKARP Ultra Rare Holo 66/64 Celebrations Neo Revelation,Shining Magikarp,,52.34,15.70,68.04,225.82,90.32800000000000501421126842,69.86980781153130812151270924,24.67451952882827448518591110,,2021-10-14 01:20:00,,,,https://www.ebay.com/itm/324831039519?hash=item4ba170501f:g:nTwAAOSwJwNhZ8u0
N3-H,Pokemon Raikou RARE HOLO 13/64 Neo Revelation Played Condition,Raikou,,60.00,,60.00,84.14,33.65600000000000186828330584,28.69027810791537913002139292,-78.27430473021154227873462718,,2021-10-13 23:50:00,,,,https://www.ebay.com/itm/353723433871?hash=item525b8f438f:g:fZgAAOSwc5xhZ7aw
B2-H,Pidgeot 14/130 LP Played Base Set 2 2000 Holofoil Rare Holo Pokemon Card,Pidgeot,LP,17.00,,17.00,21.29,14.90299999999999905453407223,20.15030530765617660873649601,-14.07099241763404065290456135,,2021-10-13 19:42:00,,,,https://www.ebay.com/itm/224646520076?hash=item344df9dd0c:g:GJEAAOSwbgBhZ3w~
B2-H,Pidgeot 14/130 LP Played Base Set 2 2000 Holofoil Rare Holo Pokemon Card,Pidgeot,LP,17.00,,17.00,21.29,14.90299999999999905453407223,20.15030530765617660873649601,-14.07099241763404065290456135,,2021-10-13 19:42:00,,,,https://www.ebay.com/itm/224646520090?hash=item344df9dd1a:g:6MwAAOSw5SphZ3xo
B2-H,Pidgeot 14/130 LP/NM Near Mint Base Set 2 2000 Holofoil Rare Holo Pokemon Card,Pidgeot,LP,20.00,,20.00,21.29,14.90299999999999905453407223,6.059182714889619539689995300,-34.20116755015769488577007218,,2021-10-13 19:42:00,,,,https://www.ebay.com/itm/224646520110?hash=item344df9dd2e:g:ooQAAOSwqBhhZ3yb
B2-H,Pidgeot 14/130 LP Played Base Set 2 2000 Holofoil Rare Holo Pokemon Card,Pidgeot,LP,17.00,,17.00,21.29,14.90299999999999905453407223,20.15030530765617660873649601,-14.07099241763404065290456135,,2021-10-13 19:42:00,,,,https://www.ebay.com/itm/224646520091?hash=item344df9dd1b:g:oiMAAOSwqBhhZ3xQ
