search,title,card_name,condition,price,shipping,total_price,mkt_price,cond_price,value_score,cond_value,bid_count,time_listed,time_left,buy_it_now,best_offer,url
B2-H,Venusaur 18/130 Holo Rare Base Set 2 Pokemon Card 2000 WOTC NM,Venusaur,NM,75.00,4.55,79.55,85.47,68.37600000000000379563047659,6.926406926406926406926406930,-16.34199134199133553306411541,,2021-10-20 14:50:00,,,,https://www.ebay.com/itm/194453264835?hash=item2d465159c3:g:ti4AAOSwimdhcHKE
N3-H,CGC 6.0 Celebi 3/64 Holo Rare Neo Revelation Pokemon TCG,Celebi,Graded,60.00,8.45,68.45,71.33,71.33,4.037571849151829524744146920,4.037571849151829524744146923,,2021-10-20 13:46:00,,,,https://www.ebay.com/itm/334188759202?hash=item4dcf33c8a2:g:u~0AAOSwEjZhcGPI
TR-H,Holo Dark Blastoise  Team Rocket 3/82 Rare Pokémon Card WOTC,Dark Blastoise,,40.00,4.50,44.50,100,40.00000000000000222044604925,55.500,-11.24999999999999382438442552,,2021-10-20 13:25:00,,,,https://www.ebay.com/itm/304193117807?hash=item46d3529e6f:g:VJEAAOSwU-ZhIsX3
GH-H,Erika's Clefable 3/132 Holo Rare Gym Heroes Unlimited Pokemon Card 2000 WOTC,Erika's Clefable,,19.99,,19.99,22.81,9.124000000000000506483743834,12.36299868478737395879000438,-119.0925032880315529409479054,,2021-10-20 13:18:00,,,,https://www.ebay.com/itm/144255612288?hash=item21964df580:g:yssAAOSwbC5hcF1R
N2-H,Kabutops 6/75 Holo Vintage Pokemon NM - Neo Discovery,Kabutops,NM,24.00,8.00,32.00,34.87,27.89600000000000154853907475,8.230570691138514482363062800,-14.71178663607685052926283552,,2021-10-20 10:19:00,,,,https://www.ebay.com/itm/384456659205?hash=item5983671105:g:I9MAAOSwQQ5hXJC3
N3-H,Crobat Holo 4/64 Pokemon Neo Revelation MP ,Crobat,MP,19.42,2.43,21.85,34.79,20.87399999999999922750681947,37.19459614831848232250646738,-4.675673086135866669600633632,,2021-10-20 08:44:00,,,,https://www.ebay.com/itm/234246366779?hash=item368a2be63b:g:uVgAAOSwNgVhcBzC
TR-H,Dark Gyarados | 8/82 | Team Rocket Set | Rare Holo | 2000 Vintage - MP,Dark Gyarados,MP,14.99,,14.99,23.66,14.19599999999999947464246475,36.64412510566356720202874049,-5.593124823894058571016046550,,2021-10-20 02:17:00,,,,https://www.ebay.com/itm/265368868405?hash=item3dc9379635:g:460AAOSwo4hhb8IY
GC-H,Giovanni’s Gyarados Holo 5/132 Gym Challenge,Giovanni's Gyarados,,45.00,,45.00,56.36,22.54400000000000125144339336,20.15613910574875798438608943,-99.60965223562809395847318394,,2021-10-20 00:53:00,,,,https://www.ebay.com/itm/174985663775?hash=item28bdf5551f:g:nbcAAOSwkAphb656
TR-H,🌊 Dark Gyarados 8/82 - Team Rocket PRERELEASE - WOTC Holo Rare Pokemon 💎 LP/NM,Dark Gyarados,LP,19.99,,19.99,23.66,16.56199999999999894928492949,15.51141166525781910397295013,-20.69798333534598036584893555,,2021-10-20 00:40:00,,,,https://www.ebay.com/itm/294478604932?hash=item44904aea84:g:VlEAAOSws3Bhb6ty
GH-H,Erika's Clefable 3/132 Holo Rare Gym Heroes Unlimited Pokemon Card 2000 WOTC,Erika's Clefable,,15.00,4.50,19.50,22.81,9.124000000000000506483743834,14.51117930732135028496273564,-113.7220517316966124236360258,,2021-10-19 23:40:00,,,,https://www.ebay.com/itm/403242846400?hash=item5de32588c0:g:l5cAAOSwlF5hb52s
